"Classification Items Report    Date: 22/09/2022 13:39:30"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: Asset Expanded"

Level,Code,Description,Table Header
3,      55,"Accommodation services","55"
3,      56,"Food and beverage serving services","56"
3,      58,"Publishing services","58"
3,      59,"Motion picture, video and TV programme production services, sound recording & music publishing","59"
3,      60,"Programming and broadcasting services","60"
3,      61,"Telecommunications services","61"
3,      62,"Computer programming, consultancy and related services  ","62"
3,      63,"Information services  ","63"
3,      64,"Financial services, except insurance and pension funding","64"
3,      65.3,"Pension funding services","65.3"
3,      66,"Services auxiliary to financial services and insurance services","66"
3,      68.3,"Real estate activities on a fee or contract basis  ","69.3"
3,      69.1,"Legal services","69.1"
3,      69.2,"Accounting, bookkeeping and auditing services; tax consulting services","69.2"
3,      70,"Services of head offices; management consulting services","70"
3,      71,"Architectural and engineering services; technical testing and analysis services","71"
3,      72,"Scientific research and development services","72"
3,      73,"Advertising and market research services","73"
3,      74,"Other professional, scientific and technical services","74"
3,      75,"Veterinary services  ","75"
3,      77,"Rental and leasing services","77"
3,      78,"Employment services  ","78"
3,      79,"Travel agency, tour operator and other reservation services and related services  ","79"
3,      80,"Security and investigation services  ","80"
3,      81,"Services to buildings and landscape  ","81"
3,      82,"Office administrative, office support and other business support services  ","82"
3,      85,"Education services","85"
3,      86,"Human health services","86"
3,      87,"Residential care services","87"
3,      88,"Social work services without accommodation","88"
3,      90,"Creative, arts and entertainment services  ","90"
3,      91,"Libraries, archives, museums and other cultural services","91"
3,      92,"Gambling and betting services","92"
3,      93,"Sports services and amusement and recreation services","93"
3,      94,"Services furnished by membership organisations","94"
3,      95,"Repair services of computers and personal and household goods","95"
3,      96,"Other personal services","96"
3,      97,"Services of households as employers of domestic personnel","97"
3,      98,"Undifferentiated goods and services produced by private households for own use","98"
1,  AN.124,"Military inventories","AN.124"
2,    AN.124.OTHER,"Military inventories - Other (NES)","AN.124.OTHER"
3,      25.4,"Weapons and ammunition","25.4"
3,      84,"Public administration and defence services; compulsory social security services  ","84"
1,  AN.125,"Goods for resale","AN.125"
2,    AN.125.OTHER,"Goods for resale - Other (NES)","AN.125.OTHER"
0,AN.121_AN.123,"Crops and Stores","AN.121_AN.123"
0,T,"Total","T"
0,FG,"Finished Goods - TOTAL","FG"
0,FG.ALUM,"Finished Goods - Aluminium","FG.ALUM"
0,FG.BASE,"Finished Goods - Base Metals","FG.BASE"
0,FG.BEEF,"Finished Goods - Beef","FG.BEEF"
0,FG.BREAD,"Finished Goods - Bread","FG.BREAD"
0,FG.BUTTER,"Finished Goods - Butter","FG.BUTTER"
0,FG.COPPER,"Finished Goods - Copper","FG.COPPER"
0,FG.DIAM,"Finished Goods - Diamonds","FG.DIAM"
0,FG.DW,"Finished Goods - Dwellings","FG.DW"
0,FG.FEED,"Finished Goods - Feed","FG.FEED"
0,FG.FLAG,"Finished Goods - Flag (Oil)","FG.FLAG"
0,FG.FORTIES,"Finished Goods - Forties (Oil)","FG.FORTIES"
0,FG.HEAVY,"Finished Goods - Heavy (Oil)","FG.HEAVY"
0,FG.LEAD,"Finished Goods - Lead","FG.LEAD"
0,FG.MILK,"Finished Goods - Milk","FG.MILK"
0,FG.NEW,"Finished Goods - New Goods","FG.NEW"
0,FG.ND,"Finished Goods - Non Dwellings","FG.ND"
0,FG.NICKEL,"Finished Goods - Nickel","FG.NICKEL"
0,FG.OIL,"Finished Goods - Oil","FG.OIL"
0,FG.SILVER,"Finished Goods - Silver","FG.SILVER"
0,FG.TIN,"Finished Goods - Tin","FG.TIN"
0,FG.TOBACCO,"Finished Goods - Tobacco","FG.TOBACCO"
0,FG.USED,"Finished Goods - Used Goods","FG.USED"
0,FG.ZINC,"Finished Goods - Zinc","FG.ZINC"
0,MSF,"Materials Stores & Fuels -  TOTAL","MSF"
0,MSF.COAL,"Materials Stores & Fuels -  Coal","MSF.COAL"
0,MSF.DW,"Materials Stores & Fuels -  Dwellings","MSF.DW"
0,MSF.GAS,"Materials Stores & Fuels -  Gas","MSF.GAS"
0,MSF.ND,"Materials Stores & Fuels -  Non Dwellings","MSF.ND"
0,MSF.NUCLEAR,"Materials Stores & Fuels -  Nuclear","MSF.NUCLEAR"
0,MSF.OFUEL,"Materials Stores & Fuels -  Ofuel","MSF.OFUEL"
0,MSF.OIL,"Materials Stores & Fuels -  Oil","MSF.OIL"
0,MSF.STORES,"Materials Stores & Fuels -  Stores","MSF.STORES"
0,WIP,"Work In Progress - TOTAL","WIP"
0,WIP.DW,"Work In Progress - Dwellings","WIP.DW"
0,WIP.ND,"Work In Progress - Non Dwellings","WIP.ND"
0,01,"Products of agriculture, hunting and related services","01"
0,02,"Products of forestry, logging and related services","02"
0,03,"Fish and other fishing products; aquaculture products; support services to fishing","03"
0,07,"Metal ores  ","07"
0,08,"Other mining and quarrying products","08"
0,10.2-3,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","10.2-4"
0,10.6,"Grain mill products, starches and starch products","10.6"
0,10.8,"Other food products","10.8"
0,20.3,"Paints, varnishes and similar coatings, printing ink and mastics","20.3"
0,23OTHER,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","23OTHER"
0,26,"Computer Electronic and optical products","26"
0,27,"Electrical Equipment","27"
0,28,"Machinery and equipment n.e.c.","28"
0,31,"Furniture","31"
0,32,"Other manufactured goods","32"
0,33.15,"Repair and maintenance of ships and boats","33.15"
0,33.16,"Repair and maintenance of aircraft and spacecraft","33.16"
0,33OTHER,"Rest of repair; Installation - 33.11-14/17/19/20","33OTHER"
0,37,"Sewerage services; sewage sludge  ","37"
0,38,"Waste collection, treatment and disposal services; materials recovery services  ","38"
0,39,"Remediation services and other waste management services  ","39"
0,41,"Buildings and building construction works","41"
0,42,"Constructions and construction works for civil engineering","42"
0,43,"Specialised construction works","43"
0,45,"Wholesale and retail trade and repair services of motor vehicles and motorcycles  ","45"
0,99,"Services provided by extraterritorial organisations and bodies","99"
