"Classification Items Report    Date: 22/09/2022 13:41:08"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 EU A161 level"

Level,Code,Description,Table Header
4,        81,"Services to buildings and landscape activities","81"
4,        82,"Office administrative, office support and other business support activities","82"
1,  OPQ,"Public Admin, Defence, Social Security, Education, Human Health & Social Work activities","OPQ"
2,    O,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY","O"
3,      84,"Public administration and defence; compulsory social security","84"
2,    P,"EDUCATION","P"
3,      85,"Education","85"
2,    Q,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES","Q"
3,      86,"Human health activities","86"
3,      87-88,"Residential and other social care","87-88"
4,        87,"Residential care activities","87"
4,        88,"Social work activities without accommodation","88"
1,  RST,"Arts, Entertainment, Recreation and Households employing staff","RST"
2,    R,"ARTS, ENTERTAINMENT AND RECREATION","R"
3,      90-92,"Arts, entertainment, libraries, museums, gambling and betting activities","90-92"
4,        90,"Creative, arts and entertainment activities","90"
4,        91,"Libraries, archives, museums and other cultural activities","91"
4,        92,"Gambling and betting activities","92"
3,      93,"Sports activities and amusement and recreation activities","93"
2,    S,"OTHER SERVICE ACTIVITIES","S"
3,      94,"Activities of membership organisations","94"
3,      95,"Repair of computers and personal and household goods","95"
3,      96,"Other personal service activities","96"
2,    T,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS","T"
1,  U,"Other","U"
