"Classification Items Report    Date: 22/09/2022 13:41:43"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 SUT Publish  Inventories"

Level,Code,Description,Table Header
2,    33OTHER,"Rest of repair; Installation - 33.11-14/17/19/20","33OTHER"
1,  Publish03,"SIC2007 46","Publish03"
2,    46,"Wholesale Trade, Except Of Motor Vehicles And Motorcycles  ","46"
1,  Publish04,"SIC2007 47","Publish04"
2,    47,"Retail Trade, Except Of Motor Vehicles And Motorcycles  ","47"
1,  Publish05,"SIC2007s 35 and 36","Publish05"
2,    35.1,"Electric power generation, transmission and distribution","35.1"
2,    35.2-3,"Manufacture of gas; distribution of gaseous fuels through mains; steam and aircon supply","35.2-3"
2,    36,"Water Collection, Treatment And Supply  ","36"
1,  Publish06,"SIC2007s 1-3, 37-39, 41-43, 45, 49-99","Publish06"
2,    01,"Crop And Animal Production, Hunting And Related Service Activities  ","01"
2,    02,"Forestry And Logging  ","02"
2,    03,"Fishing And Aquaculture  ","03"
2,    37,"Sewerage  ","37"
2,    38,"Waste Collection, Treatment And Disposal Activities; Materials Recovery  ","38"
2,    39,"Remediation Activities And Other Waste Management Services  ","39"
2,    41,"Construction Of Buildings  ","41"
2,    42,"Civil Engineering  ","42"
2,    43,"Specialised Construction Activities  ","43"
2,    45,"Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles  ","45"
2,    49.1-2,"Rail transport","49.1-2"
2,    49.3-5,"Land transport services and transport services via pipelines, excluding rail transport","49.3-5"
2,    50,"Water Transport  ","50"
2,    51,"Air Transport  ","51"
2,    52,"Warehousing And Support Activities For Transportation  ","52"
2,    53,"Postal And Courier Activities  ","53"
2,    55,"Accommodation  ","55"
2,    56,"Food And Beverage Service Activities  ","56"
2,    58,"Publishing Activities  ","58"
2,    59,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities","59"
2,    60,"Programming And Broadcasting Activities  ","60"
2,    61,"Telecommunications  ","61"
2,    62,"Computer Programming, Consultancy And Related Activities  ","62"
2,    63,"Information Service Activities  ","63"
2,    64,"Financial Service Activities, Except Insurance And Pension Funding  ","64"
3,      64.1,"64.1","64.1"
3,      64.2-9,"64.2-9","64.2-9"
2,    65.1-2,"Insurance and reinsurance, except compulsory social security","65.1-2"
2,    65.3,"Pension funding","65.3"
2,    66,"Activities Auxiliary To Financial Services And Insurance Activities  ","66"
2,    68.1-2,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rent","68.1-2"
2,    68.3,"Real estate activities on a fee or contract basis  ","68.3"
2,    69.1,"Legal activities  ","69.1"
2,    69.2,"Accounting, bookkeeping and auditing activities; tax consultancy  ","69.2"
2,    70,"Activities Of Head Offices; Management Consultancy Activities  ","70"
2,    71,"Architectural And Engineering Activities; Technical Testing And Analysis  ","71"
2,    72,"Scientific Research And Development  ","72"
2,    73,"Advertising And Market Research  ","73"
2,    74,"Other Professional, Scientific And Technical Activities  ","74"
2,    75,"Veterinary Activities  ","75"
2,    77,"Rental And Leasing Activities  ","77"
2,    78,"Employment Activities  ","78"
2,    79,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities  ","79"
2,    80,"Security And Investigation Activities  ","80"
2,    81,"Services To Buildings And Landscape Activities  ","81"
2,    82,"Office Administrative, Office Support And Other Business Support Activities  ","82"
2,    84,"Public Administration And Defence; Compulsory Social Security  ","84"
2,    85,"Education  ","85"
2,    86,"Human Health Activities","86"
2,    87,"Residential Care Activities","87"
2,    88,"Social Work Activities Without Accommodation  ","88"
2,    90,"Creative, Arts And Entertainment Activities  ","90"
2,    91,"Libraries, Archives, Museums And Other Cultural Activities  ","91"
2,    92,"Gambling And Betting Activities  ","92"
2,    93,"Sports Activities And Amusement And Recreation Activities  ","93"
2,    94,"Activities Of Membership Organisations  ","94"
2,    95,"Repair Of Computers And Personal And Household Goods  ","95"
2,    96,"Other Personal Service Activities  ","96"
2,    97,"Activities Of Households As Employers Of Domestic Personnel  ","97"
2,    98,"Undifferentiated Goods- And Services-Producing Activities Of Private Households For Own Use  ","98"
2,    99,"Activities Of Extraterritorial Organisations And Bodies  ","99"
