"Classification Items Report    Date: 22/09/2022 13:41:26"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: SIC2007 SUT Inventories"

Level,Code,Description,Table Header
1,  62,"Computer Programming, Consultancy And Related Activities  ","62"
1,  63,"Information Service Activities  ","63"
1,  64,"Financial Service Activities, Except Insurance And Pension Funding  ","64"
2,    64.1,"64.1","64.1"
2,    64.2-9,"64.2-9","64.2-9"
1,  65.1-2,"Insurance and reinsurance, except compulsory social security","65.1-2"
1,  65.3,"Pension funding","65.3"
1,  66,"Activities Auxiliary To Financial Services And Insurance Activities  ","66"
1,  68.1-2,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rent","68.1-2"
1,  68.3,"Real estate activities on a fee or contract basis  ","68.3"
1,  69.1,"Legal activities  ","69.1"
1,  69.2,"Accounting, bookkeeping and auditing activities; tax consultancy  ","69.2"
1,  70,"Activities Of Head Offices; Management Consultancy Activities  ","70"
1,  71,"Architectural And Engineering Activities; Technical Testing And Analysis  ","71"
1,  72,"Scientific Research And Development  ","72"
1,  73,"Advertising And Market Research  ","73"
1,  74,"Other Professional, Scientific And Technical Activities  ","74"
1,  75,"Veterinary Activities  ","75"
1,  77,"Rental And Leasing Activities  ","77"
1,  78,"Employment Activities  ","78"
1,  79,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities  ","79"
1,  80,"Security And Investigation Activities  ","80"
1,  81,"Services To Buildings And Landscape Activities  ","81"
1,  82,"Office Administrative, Office Support And Other Business Support Activities  ","82"
1,  84,"Public Administration And Defence; Compulsory Social Security  ","84"
1,  85,"Education  ","85"
1,  86,"Human Health Activities","86"
1,  87,"Residential Care Activities","87"
1,  88,"Social Work Activities Without Accommodation  ","88"
1,  90,"Creative, Arts And Entertainment Activities  ","90"
1,  91,"Libraries, Archives, Museums And Other Cultural Activities  ","91"
1,  92,"Gambling And Betting Activities  ","92"
1,  93,"Sports Activities And Amusement And Recreation Activities  ","93"
1,  94,"Activities Of Membership Organisations  ","94"
1,  95,"Repair Of Computers And Personal And Household Goods  ","95"
1,  96,"Other Personal Service Activities  ","96"
1,  97,"Activities Of Households As Employers Of Domestic Personnel  ","97"
1,  98,"Undifferentiated Goods- And Services-Producing Activities Of Private Households For Own Use  ","98"
1,  99,"Activities Of Extraterritorial Organisations And Bodies  ","99"
0,PublishTotal,"Published Total","PublishTotal"
1,  Publish01,"SIC2007s 05 to 09","Publish01"
2,    05,"Mining Of Coal And Lignite  ","05"
2,    06,"Extraction Of Crude Petroleum And Natural Gas  ","06"
2,    07,"Mining Of Metal Ores  ","07"
2,    08,"Other Mining And Quarrying  ","08"
2,    09,"Mining Support Service Activities  ","09"
1,  Publish02,"SIC2007 10 - 33","Publish02"
2,    10.1,"Processing and preserving of meat and production of meat products","10.1"
2,    10.2-3,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables","10.2-3"
2,    10.4,"Manufacture of vegetable and animal oils and fats","10.4"
2,    10.5,"Manufacture of dairy products","10.5"
2,    10.6,"Manufacture of grain mill products, starches and starch products","10.6"
2,    10.7,"Manufacture of bakery and farinaceous products","10.7"
2,    10.8,"Manufacture of other food products","10.8"
2,    10.9,"Manufacture of prepared animal feeds","10.9"
2,    11.01-6,"Manufacture of alcoholic beverages","11.01-6"
2,    11.07,"Manufacture of soft drinks; production of mineral waters and other bottled waters","11.07"
2,    12,"Manufacture Of Tobacco Products  ","12"
2,    13,"Manufacture Of Textiles  ","13"
2,    14,"Manufacture Of Wearing Apparel  ","14"
2,    15,"Manufacture Of Leather And Related Products  ","15"
2,    16,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw","16"
2,    17,"Manufacture Of Paper And Paper Products  ","17"
2,    18,"Printing And Reproduction Of Recorded Media  ","18"
2,    19,"Manufacture Of Coke And Refined Petroleum Products  ","19"
2,    20A,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15","20A"
2,    20B,"Manufacture of petrochemicals - 20.14/16/17/60","20B"
2,    20C,"Manufacture of dyestuffs, agro-chemicals - 20.12/20","20C"
2,    20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","20.3"
2,    20.4,"Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations","20.4"
2,    20.5,"Manufacture of other chemical products","20.5"
2,    21,"Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations","21"
2,    22,"Manufacture Of Rubber And Plastic Products  ","22"
2,    23OTHER,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products - 23.1-4/7-9","23OTHER"
2,    23.5-6,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","23.5-6"
2,    24.1-3,"Manufacture of basic iron and steel","24.1-3"
2,    24.4-5,"Manufacture of other basic metals and casting","24.4-5"
2,    25OTHER,"Manufacture of fabricated metal products, excluding weapons & ammunition - 25.1-3/5-9","25OTHER"
2,    25.4,"Manufacture of weapons and ammunition","25.4"
2,    26,"Manufacture Of Computer, Electronic And Optical Products  ","26"
2,    27,"Manufacture Of Electrical Equipment  ","27"
2,    28,"Manufacture Of Machinery And Equipment N.E.C.  ","28"
2,    29,"Manufacture Of Motor Vehicles, Trailers And Semi-Trailers  ","29"
2,    30.1,"Building of ships and boats","30.1"
2,    30.3,"Manufacture of air and spacecraft and related machinery","30.3"
2,    30OTHER,"Manufacture of other transport equipment - 30.2/4/9","30OTHER"
2,    31,"Manufacture Of Furniture  ","31"
2,    32,"Other Manufacturing  ","32"
2,    33.15,"Repair and maintenance of ships and boats","33.15"
2,    33.16,"Repair and maintenance of aircraft and spacecraft","33.16"
2,    33OTHER,"Rest of repair; Installation - 33.11-14/17/19/20","33OTHER"
1,  Publish03,"SIC2007 46","Publish03"
2,    46,"Wholesale Trade, Except Of Motor Vehicles And Motorcycles  ","46"
1,  Publish04,"SIC2007 47","Publish04"
2,    47,"Retail Trade, Except Of Motor Vehicles And Motorcycles  ","47"
1,  Publish05,"SIC2007s 35 and 36","Publish05"
2,    35.1,"Electric power generation, transmission and distribution","35.1"
2,    35.2-3,"Manufacture of gas; distribution of gaseous fuels through mains; steam and aircon supply","35.2-3"
2,    36,"Water Collection, Treatment And Supply  ","36"
1,  Publish06,"SIC2007s 1-3, 37-39, 41-43, 45, 49-99","Publish06"
2,    01,"Crop And Animal Production, Hunting And Related Service Activities  ","01"
2,    02,"Forestry And Logging  ","02"
2,    03,"Fishing And Aquaculture  ","03"
2,    37,"Sewerage  ","37"
2,    38,"Waste Collection, Treatment And Disposal Activities; Materials Recovery  ","38"
2,    39,"Remediation Activities And Other Waste Management Services  ","39"
2,    41,"Construction Of Buildings  ","41"
2,    42,"Civil Engineering  ","42"
2,    43,"Specialised Construction Activities  ","43"
2,    45,"Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles  ","45"
2,    49.1-2,"Rail transport","49.1-2"
2,    49.3-5,"Land transport services and transport services via pipelines, excluding rail transport","49.3-5"
2,    50,"Water Transport  ","50"
2,    51,"Air Transport  ","51"
2,    52,"Warehousing And Support Activities For Transportation  ","52"
2,    53,"Postal And Courier Activities  ","53"
2,    55,"Accommodation  ","55"
2,    56,"Food And Beverage Service Activities  ","56"
2,    58,"Publishing Activities  ","58"
2,    59,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities","59"
2,    60,"Programming And Broadcasting Activities  ","60"
2,    61,"Telecommunications  ","61"
2,    62,"Computer Programming, Consultancy And Related Activities  ","62"
2,    63,"Information Service Activities  ","63"
2,    64,"Financial Service Activities, Except Insurance And Pension Funding  ","64"
3,      64.1,"64.1","64.1"
3,      64.2-9,"64.2-9","64.2-9"
2,    65.1-2,"Insurance and reinsurance, except compulsory social security","65.1-2"
2,    65.3,"Pension funding","65.3"
2,    66,"Activities Auxiliary To Financial Services And Insurance Activities  ","66"
2,    68.1-2,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rent","68.1-2"
2,    68.3,"Real estate activities on a fee or contract basis  ","68.3"
2,    69.1,"Legal activities  ","69.1"
2,    69.2,"Accounting, bookkeeping and auditing activities; tax consultancy  ","69.2"
2,    70,"Activities Of Head Offices; Management Consultancy Activities  ","70"
2,    71,"Architectural And Engineering Activities; Technical Testing And Analysis  ","71"
2,    72,"Scientific Research And Development  ","72"
2,    73,"Advertising And Market Research  ","73"
2,    74,"Other Professional, Scientific And Technical Activities  ","74"
2,    75,"Veterinary Activities  ","75"
2,    77,"Rental And Leasing Activities  ","77"
2,    78,"Employment Activities  ","78"
2,    79,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities  ","79"
2,    80,"Security And Investigation Activities  ","80"
2,    81,"Services To Buildings And Landscape Activities  ","81"
2,    82,"Office Administrative, Office Support And Other Business Support Activities  ","82"
2,    84,"Public Administration And Defence; Compulsory Social Security  ","84"
2,    85,"Education  ","85"
2,    86,"Human Health Activities","86"
2,    87,"Residential Care Activities","87"
2,    88,"Social Work Activities Without Accommodation  ","88"
2,    90,"Creative, Arts And Entertainment Activities  ","90"
2,    91,"Libraries, Archives, Museums And Other Cultural Activities  ","91"
2,    92,"Gambling And Betting Activities  ","92"
2,    93,"Sports Activities And Amusement And Recreation Activities  ","93"
2,    94,"Activities Of Membership Organisations  ","94"
2,    95,"Repair Of Computers And Personal And Household Goods  ","95"
2,    96,"Other Personal Service Activities  ","96"
2,    97,"Activities Of Households As Employers Of Domestic Personnel  ","97"
2,    98,"Undifferentiated Goods- And Services-Producing Activities Of Private Households For Own Use  ","98"
2,    99,"Activities Of Extraterritorial Organisations And Bodies  ","99"
