"Calculations Configuration Report    Date: 22/09/2022 13:42:33"
"Statistical Activity: Inventories Local    Mode: INT23"

Name,Description,Type,Dataset,Status,Replace Nulls With Zero,Start Date,End Date,Type Specific Details,Selection Criteria,Dimension Mappings,Date Created,Date Last Used
"4.2.1.1 Copy Data Non-QSI Ind","Copy Non-QSI Data",COPY BETWEEN DATASETS,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{source dataset{name = 1.2 Input Non-QSI}{status = Work in progress}}"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Periodicity-> (Direct) Periodicity}",05/08/2022 15:56:36,16/09/2022 14:15:02
"4.2.1.2 Copy Adj Non-QSI A1.2","Copy Adjustments A1.2 for Non-QSI",COPY BETWEEN DATASETS,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{source dataset{name = 2.2 Input Adjustment NonQSI A1.2}{status = Work in progress}}"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Periodicity-> (Direct) Periodicity}",04/08/2022 10:53:29,16/09/2022 14:15:04
"4.2.2.10 Form Ind 46, AN.125","Form OUTPUT for industry 46, asset AN.125 by mapping from AN.123",COPY BETWEEN DATASETS,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{source dataset{name = 4.2 Process Non-QSI Industries}{status = Work in progress}}"," {Industry = 46} {Asset = AN.123} {Measure = OUTPUT} {Periodicity = Q}","{Industry-> (Direct) Industry}{AN.125-> (Unmapped) Asset}{Measure-> (Direct) Measure}{Periodicity-> (Direct) Periodicity}",02/07/2018 11:46:13,16/09/2022 14:15:13
"4.3.1.1 Copy Data ABI Missing","Copy ABI Missing Data 1997-2000",COPY BETWEEN DATASETS,"4.3 Process ABI Adjustment",Work in progress,N, , ,"{source dataset{name = 1.3  Input ABI}{status = Work in progress}}"," {Industry = *} {Asset = *} {Adjustment Basis = *} {Source = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Adjustment Basis-> (Direct) Adjustment Basis}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}",04/08/2022 12:14:02,16/09/2022 14:15:15
"4.3.1.2 Copy Adjustment A1.2 ABI","Copy A1.2 ABI Adjustment Data",COPY BETWEEN DATASETS,"4.3 Process ABI Adjustment",Work in progress,N, , ,"{source dataset{name = 2.3 Input Adjustment ABI A1.2}{status = Work in progress}}"," {Industry = *} {Asset = *} {Adjustment Basis = *} {Source = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Adjustment Basis-> (Direct) Adjustment Basis}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}",04/08/2022 12:16:32,16/09/2022 14:15:18
"4.3.1.3 Copy QSI quarterly data","Copy QSI quarterly data",COPY BETWEEN DATASETS,"4.3 Process ABI Adjustment",Work in progress,N, , ,"{source dataset{name = 4.1 Process QSI Industries}{status = Work in progress}}"," {QSI Industry = group SUT Bottom level} {QSI Question = AN.121.OTHER, AN.122.OTHER, AN.123.OTHER} {Measure = OUTPUT}","{QSI Industry-> (Direct) Industry}{QSI Question-> (Direct) Asset}{RF-> (Unmapped) Adjustment Basis}{QSI-> (Unmapped) Source}{Q-> (Unmapped) Periodicity}",26/09/2012 14:41:21,15/09/2022 10:12:54
"4.4.1.1 Copy Adjustment and RP","Copy Adjustments: AQ for Pre SUT; A4.2 for Balanced; A5.2 for Balanced; and RP Data",COPY BETWEEN DATASETS,"4.4 Process Satellite Adjustment",Work in progress,N, , ,"{source dataset{name = 2.5 Input Satellite Adjustments}{status = Work in progress}}"," {Industry = *} {Asset = *} {Product = *} {Sector = *} {Price = *} {Adjustment Basis = *} {Seasonal Adjustment = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Price-> (Direct) Price}{Adjustment Basis-> (Direct) Adjustment Basis}{Seasonal Adjustment-> (Direct) Seasonal Adjustment}{Periodicity-> (Direct) Periodicity}{Product-> (Direct) Product}",04/08/2022 12:44:42,16/09/2022 14:15:29
"4.5.1.1 Copy DEFRA Data","Copy DEFRA Data",COPY BETWEEN DATASETS,"4.5 Process DEFRA Delivery",Work in progress,N, , ,"{source dataset{name = 1.4 Input DEFRA}{status = Work in progress}}"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *} {Adjustments = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Periodicity-> (Direct) Periodicity}{Adjustments-> (Direct) Adjustments}",04/08/2022 12:55:17,16/09/2022 14:15:33
"4.6.1.1 Copy Sector Pattern Data","Copy Sector Pattern Data",COPY BETWEEN DATASETS,"4.6 Process Ind Sector Pattern",Work in progress,N, , ,"{source dataset{name = 3.1 Input Sector Ind Pattern}{status = Work in progress}}"," {Industry = *} {Sector = *} {Measure = *}","{Industry-> (Direct) Industry}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}",04/08/2022 14:59:58,16/09/2022 14:15:45
"4.7.1.1 Copy Quality Adjust SU","Copy SU Quality Adjustment",COPY BETWEEN DATASETS,"4.7 Process SU Qual Adjustments",Work in progress,N, , ,"{source dataset{name = 2.4 Input Adjustment SU Quality}{status = Work in progress}}"," {Industry = *} {Asset = *} {Product = *} {Price = *} {Adjustment Basis = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Product-> (Direct) Product}{Price-> (Direct) Price}{Adjustment Basis-> (Direct) Adjustment Basis}",04/08/2022 15:34:04,16/09/2022 14:15:48
"4.7.2.1 Wip to completed","Wip to completed SU Quality Adjustments",COPY BETWEEN DATASETS,"4.7 Process SU Qual Adjustments",Completed,N, , ,"{source dataset{name = 4.7 Process SU Qual Adjustments}{status = Work in progress}}"," {Industry = *} {Asset = *} {Product = *} {Price = *} {Adjustment Basis = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Product-> (Direct) Product}{Price-> (Direct) Price}{Adjustment Basis-> (Direct) Adjustment Basis}",23/05/2019 12:14:19,16/09/2022 14:15:51
"5.1.1 Copy BV QSI for Unbal Inv","Copy BV, QSI, Q, Ind Bottom level excl 45, 46 and 47, Asset group AN Output data from Local(QSI)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.1 Process QSI Industries}{status = Work in progress}}"," {QSI Industry = group SUT Bottom level exc 45 46 47} {QSI Question = group AN Output} {Measure = 'OUTPUT'}","{QSI Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{QSI Question-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV-> (Unmapped) Measure}{QSI-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Q-> (Unmapped) Periodicity}",24/08/2022 08:14:33,13/09/2022 17:56:33
"5.1.2 Copy BV QSI for Unbal Inv","Unbal copy BV, QSI, Q, Ind 45,46 and 47, Asset group AN Output inc AN.125 exc 123.OTH frm Local(QSI)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.1 Process QSI Industries}{status = Work in progress}}"," {QSI Industry = '45','46','47'} {QSI Question = group AN Output inc AN.125 exc 123.OTH} {Measure = 'OUTPUT'}","{QSI Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{QSI Question-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV-> (Unmapped) Measure}{QSI-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Q-> (Unmapped) Periodicity}",24/08/2022 08:20:32,13/09/2022 17:56:37
"5.10.1 copy W DEF AN.122-5 Unbal","Unbal copy W,DEF,A,Asset AN.122, 3, 4, 5, Industry & Product Bottom level from Loc(Produc Breakdown)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 00.090 Product Breakdown}{status = Work in progress}}"," {Industry = group Bottom level} {Asset = 'AN.122','AN.123','AN.124','AN.125'} {Product = group Bottom level}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{W-> (Unmapped) Measure}{DEF-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{A-> (Unmapped) Periodicity}",25/08/2022 09:50:29,16/09/2022 14:17:08
"5.10.2 Copy pattern for Unbal","Unbal copy pattern,LOCAL,A,Asset AN.122,3,4,5,Industry & Product Bottom level from Loc (Prod Bre)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 00.090 Product Breakdown}{status = Work in progress}}"," {Industry = group Bottom level} {Asset = 'AN.122','AN.123','AN.124','AN.125'} {Product = group Bottom level}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{pattern-> (Unmapped) Measure}{LOCAL-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{A-> (Unmapped) Periodicity}",25/08/2022 09:55:47,16/09/2022 14:17:12
"5.10.3 Copy patt CP R3.2 Unbal","Unbal copy pattern, CP, R3.2, A, All Asset, Industry and Prod from Inv Loc",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 00.090 Product Breakdown}{status = Work in progress}}"," {Industry = *} {Asset = *} {Product = *}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{pattern-> (Unmapped) Measure}{LOCAL-> (Unmapped) Source}{R3.2-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{A-> (Unmapped) Periodicity}",25/08/2022 11:21:57,16/09/2022 14:17:16
"5.11.1 Copy UWDEF DEF for Unbal","Unbal copy UWDEF,DEF,M,Asset AN.12,Industry TOTAL, Product adjustments (A1.2) from Local (Def adjs)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 05.00 Deflator adjustments}{status = Work in progress}}"," {Product = *}","{TOTAL-> (Unmapped) Industry}{Product-> (Direct) Product}{AN.12-> (Unmapped) Asset}{S.1-> (Unmapped) Sector}{UWDEF-> (Unmapped) Measure}{DEF-> (Unmapped) Source}{A1.2-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{M-> (Unmapped) Periodicity}",25/08/2022 11:34:16,16/09/2022 14:17:20
"5.12.3 Copy to Completed 4.4","Copy all data in 4.4 Process Satellite Adjustment from WiP to Completed",COPY BETWEEN DATASETS,"4.4 Process Satellite Adjustment",Completed,N, , ,"{source dataset{name = 4.4 Process Satellite Adjustment}{status = Work in progress}}"," {Industry = *} {Asset = *} {Sector = *} {Price = *} {Adjustment Basis = *} {Seasonal Adjustment = *} {Periodicity = *} {Product = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Price-> (Direct) Price}{Adjustment Basis-> (Direct) Adjustment Basis}{Seasonal Adjustment-> (Direct) Seasonal Adjustment}{Periodicity-> (Direct) Periodicity}{Product-> (Direct) Product}",13/09/2022 15:13:24,16/09/2022 14:17:45
"5.12.4 Copy to Completed 4.6","Copy all data in 4.6 Process Ind Sector Pattern from WiP to Completed",COPY BETWEEN DATASETS,"4.6 Process Ind Sector Pattern",Completed,N, , ,"{source dataset{name = 4.6 Process Ind Sector Pattern}{status = Work in progress}}"," {Industry = *} {Sector = *} {Measure = *}","{Industry-> (Direct) Industry}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}",05/10/2018 14:53:55,16/09/2022 14:17:47
"5.2.1 Copy BV Other Unbal Inv","Ubal Inv copy BV, Other, Q, Asset group Main, Industry Bottom level from Local (Other)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.2 Process Non-QSI Industries}{status = Work in progress}}"," {Industry = group Bottom level} {Asset = group Main} {Measure = 'OUTPUT'} {Periodicity = 'Q'}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV-> (Unmapped) Measure}{Other-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Periodicity-> (Direct) Periodicity}",24/08/2022 08:27:08,16/09/2022 14:16:15
"5.2.2 Copy BV Other AN123 Unbal","Unbal Inv copy BV, Other, Q, Asset AN.123, Industry 65.1-2, 65.3, 84 from Local (Other)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.2 Process Non-QSI Industries}{status = Work in progress}}"," {Industry = '65.1-2','65.3','84'} {Asset = 'AN.123'} {Measure = 'OUTPUT'} {Periodicity = 'Q'}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV-> (Unmapped) Measure}{Other-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Periodicity-> (Direct) Periodicity}",24/08/2022 08:31:40,16/09/2022 14:16:18
"5.2.3 Copy BV Other AN125 Unbal","Unbal Inv copy BV, Other, Q, Asset AN.125, Industry 46 from Local (Other)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.2 Process Non-QSI Industries}{status = Work in progress}}"," {Industry = '46'} {Asset = 'AN.125'} {Measure = 'OUTPUT'} {Periodicity = 'Q'}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV-> (Unmapped) Measure}{Other-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Periodicity-> (Direct) Periodicity}",24/08/2022 08:38:11,16/09/2022 14:16:21
"5.3.1 Unbal Inv copy BV.in ABI","Unbl Inv copy BV.in, ABI, A, Asset AN.12, Industry Bottom level, Product TOTAL, 97-00 from (ABI Adj)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.3 Process ABI Adjustment}{status = Work in progress}}"," {Industry = *} {Asset = 'AN.12'} {Adjustment Basis = 'RF'} {Source = 'ABI'} {Periodicity = 'A'}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV.in-> (Unmapped) Measure}{Source-> (Direct) Source}{RF.in-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Periodicity-> (Direct) Periodicity}",24/08/2022 08:48:54,16/09/2022 14:16:25
"5.3.2 Copy BV ABI for Unbal Inv","Ubal copy BV, ABI, A, Asset AN.12, Product TOTAL, Industry adjustments (A1.2) from Local (ABI adj)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.3 Process ABI Adjustment}{status = Work in progress}}"," {Industry = *} {Asset = 'AN.12'} {Adjustment Basis = 'A1.2'} {Source = 'ABI'} {Periodicity = 'A'}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV-> (Unmapped) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{CP-> (Unmapped) Price}{Periodicity-> (Direct) Periodicity}",24/08/2022 12:45:41,16/09/2022 14:16:27
"5.4.1 Copy VPIC CP RP for Unbal","Unbal Inv copy VPIC, CP,RP,Q, Asset Main and Industry Published Bot level from Inv Local(04.00 Adj)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.4 Process Satellite Adjustment}{status = Work in progress}}"," {Industry = group Published Bottom Level} {Asset = group Main} {Sector = 'S1'} {Price = 'CP'} {Adjustment Basis = 'RP'} {Seasonal Adjustment = 'NSA'} {Periodicity = 'Q'} {Product = 'TOTAL'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{VPIC-> (Unmapped) Measure}{LOCAL-> (Unmapped) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{Price-> (Direct) Price}{Periodicity-> (Direct) Periodicity}",24/08/2022 13:28:31,16/09/2022 14:16:30
"5.4.2 copy VPIC CP AQ Unbal","Unbal copy VPIC, CP,AQ,Q, All Asset and Industry from Inventories Local (04.00 Adjustments for Sat)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.4 Process Satellite Adjustment}{status = Work in progress}}"," {Industry = *} {Asset = *} {Sector = 'ST'} {Price = 'CP'} {Adjustment Basis = 'AQ'} {Seasonal Adjustment = 'NSA'} {Periodicity = 'Q'} {Product = 'TOTAL'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{VPIC-> (Unmapped) Measure}{LOCAL-> (Unmapped) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{Price-> (Direct) Price}{Periodicity-> (Direct) Periodicity}",24/08/2022 13:59:05,16/09/2022 14:16:33
"5.5.1 copy BVC Other for Unbal","Ubal Copy BV, Other, Q, Asset AN.121, AN.122, AN.123, Industry 01 from Local (DEFRA)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.5 Process DEFRA Delivery}{status = Work in progress}}"," {Industry = '01'} {Asset = 'AN.121','AN.122','AN.123'} {Measure = 'BVC'} {Periodicity = 'Q'} {Adjustments = 'R1.2'}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{Measure-> (Direct) Measure}{Other-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Periodicity-> (Direct) Periodicity}",24/08/2022 14:11:57,16/09/2022 14:16:36
"5.5.2 Copy BV Other 96Q4 Unbal","Unbal Inv copy BV, Other, Q, Asset AN.121, AN.122, AN.123, Industry 01, 1996Q4 from Local (DEFRA)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N,1996Q4,1996Q4,"{source dataset{name = 4.5 Process DEFRA Delivery}{status = Work in progress}}"," {Industry = '01'} {Asset = 'AN.121','AN.122','AN.123'} {Measure = 'BV'} {Periodicity = *} {Adjustments = 'R1.2'}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{Measure-> (Direct) Measure}{Other-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Periodicity-> (Direct) Periodicity}",24/08/2022 14:22:51,16/09/2022 14:16:39
"5.5.3  Copy BV Other for Unbal","Unbal Inv copy BV, Other, A, Asset AN.121, AN.122, AN.123, Industry 01 from Local (DEFRA)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.5 Process DEFRA Delivery}{status = Work in progress}}"," {Industry = '01'} {Asset = 'AN.121','AN.122','AN.123'} {Measure = 'BV'} {Periodicity = 'A'} {Adjustments = 'R1.2'}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{Measure-> (Direct) Measure}{Other-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Periodicity-> (Direct) Periodicity}",24/08/2022 14:34:38,16/09/2022 14:16:42
"5.6.1 Copy Ind Sec Patt Unbal","Unbal copy all Quarterly data from Local (Industry Sector Pattern)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.6 Process Ind Sector Pattern}{status = Work in progress}}"," {Industry = *} {Sector = *} {Measure = *}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{AN.12-> (Unmapped) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{LOCAL-> (Unmapped) Source}{R1.2-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Q-> (Unmapped) Periodicity}",25/08/2022 09:05:19,16/09/2022 14:16:45
"5.7.1 Copy VPIL.adj Unbal Inv","Unbal copy Q, VPIL.adj (AQ, SU Quality Adjustments) from Inventories Local (07.00 SU Qual adj)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 4.7 Process SU Qual Adjustments}{status = Work in progress}}"," {Industry = *} {Asset = *} {Product = *} {Price = *} {Adjustment Basis = 'AQ'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{VPIL.adj-> (Unmapped) Measure}{LOCAL-> (Unmapped) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{Price-> (Direct) Price}{Q-> (Unmapped) Periodicity}",25/08/2022 09:19:58,16/09/2022 14:16:50
"5.8.1 copy SHP for Unbal","Unbal Inv copy SHP,A,Asset group Main,Ind Bottom level data (Stock Holding Period)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 00.020 Stock Holding Period}{status = Work in progress}}"," {Industry = group Bottom level} {Asset = group Main} {Prices = 'SHP'} {Periodicity = 'A'}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV-> (Unmapped) Measure}{LOCAL-> (Unmapped) Source}{R1.2-> (Unmapped) Adjustment Basis}{Prices-> (Direct) Price}{Periodicity-> (Direct) Periodicity}",25/08/2022 09:34:52,16/09/2022 14:16:53
