"Classification Items Report    Date: 22/09/2022 13:40:35"
"Statistical Activity: Inventories Local    Mode: INT23    Classification: QSI Industry"

Level,Code,Description,Table Header
1,  19,"Manufacture Of Coke And Refined Petroleum Products  ","19"
2,    19000,"19000","19000"
1,  20A,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15","20A"
2,    99707,"99707","99707"
1,  20B,"Manufacture of petrochemicals - 20.14/16/17/60","20B"
2,    99709,"99709","99709"
1,  20C,"Manufacture of dyestuffs, agro-chemicals - 20.12/20","20C"
2,    99708,"99708","99708"
1,  20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","20.3"
2,    20300,"20300","20300"
1,  20.4,"Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations","20.4"
2,    20400,"20400","20400"
1,  20.5,"Manufacture of other chemical products","20.5"
2,    20500,"20500","20500"
1,  21,"Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations","21"
2,    21000,"21000","21000"
1,  22,"Manufacture Of Rubber And Plastic Products  ","22"
2,    22000,"22000","22000"
1,  23.5-6,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","23.5-6"
2,    99603,"99603","99603"
1,  23OTHER,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products - 23.1-4/7-9","23OTHER"
2,    99907,"99907","99907"
1,  24.1-3,"Manufacture of basic iron and steel","24.1-3"
2,    99604,"99604","99604"
1,  24.4-5,"Manufacture of other basic metals and casting","24.4-5"
2,    99605,"99605","99605"
1,  25.4,"Manufacture of weapons and ammunition","25.4"
2,    25400,"25400","25400"
1,  25OTHER,"Manufacture of fabricated metal products, excluding weapons & ammunition - 25.1-3/5-9","25OTHER"
2,    99908,"99908","99908"
1,  26,"Manufacture Of Computer, Electronic And Optical Products  ","26"
2,    26000,"26000","26000"
1,  27,"Manufacture Of Electrical Equipment  ","27"
2,    27000,"27000","27000"
1,  28,"Manufacture Of Machinery And Equipment N.E.C.  ","28"
2,    28000,"28000","28000"
1,  29,"Manufacture Of Motor Vehicles, Trailers And Semi-Trailers  ","29"
2,    29000,"29000","29000"
1,  30.1,"Building of ships and boats","30.1"
2,    30100,"30100","30100"
1,  30.3,"Manufacture of air and spacecraft and related machinery","30.3"
2,    30300,"30300","30300"
1,  30OTHER,"Manufacture of other transport equipment - 30.2/4/9","30OTHER"
2,    99909,"99909","99909"
1,  31,"Manufacture Of Furniture  ","31"
2,    31000,"31000","31000"
1,  32,"Other Manufacturing  ","32"
2,    32000,"32000","32000"
1,  33.15,"Repair and maintenance of ships and boats","33.15"
2,    33150,"33150","33150"
1,  33.16,"Repair and maintenance of aircraft and spacecraft","33.16"
2,    33160,"33160","33160"
1,  33OTHER,"Rest of repair; Installation - 33.11-14/17/19/20","33OTHER"
2,    99910,"99910","99910"
1,  35.1,"Electric power generation, transmission and distribution","35.1"
2,    35100,"35100","35100"
1,  35.2-3,"Manufacture of gas; distribution of gaseous fuels through mains; steam and aircon supply","35.2-3"
2,    35200,"35200","35200"
2,    35300,"35300","35300"
1,  36,"Water Collection, Treatment And Supply  ","36"
2,    36000,"36000","36000"
1,  37,"Sewerage  ","37"
2,    37000,"37000","37000"
1,  38,"Waste Collection, Treatment And Disposal Activities; Materials Recovery  ","38"
1,  39,"Remediation Activities And Other Waste Management Services  ","39"
1,  41,"Construction Of Buildings  ","41"
2,    41100,"Development of building projects","41100"
2,    41200,"Construction of buildings","41200"
1,  42,"Civil Engineering  ","42"
2,    99607,"99607","99607"
1,  43,"Specialised Construction Activities  ","43"
2,    43000,"43000","43000"
1,  45,"Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles  ","45"
2,    45000,"45000","45000"
1,  46,"Wholesale Trade, Except Of Motor Vehicles And Motorcycles  ","46"
2,    99608,"99608","99608"
1,  47,"Retail Trade, Except Of Motor Vehicles And Motorcycles  ","47"
2,    47000,"47000","47000"
1,  61,"Telecommunications","61"
1,  65.1-2,"Insurance and reinsurance, except compulsory social security","65.1-2"
1,  65.3,"Pension funding","65.3"
1,  66,"Activities Auxiliary To Financial Services And Insurance Activities  ","66"
1,  84,"Public Administration And Defence; Compulsory Social Security  ","84"
0,99606sic38,"99606 SIC 38","99606sic38"
0,99606sic39,"99606 SIC 39","99606sic39"
0,99606,"99606","99606"
