Task Report     Date: 05/10/2022 16:05:41
"Task: 00.00 Supertask    Description: Supertask to run whole system    Is Parallel: N"
Statistical Activity: Inventories Local    Mode: INT23

Order,Level,Name,Description,Parent Task,Kind,Exclude,Parallel,Line Run,Dataset,Status,Start Date,End Date,Object Type,Object Details,Selection Criteria,Dimension Mappings
10,1,"   00.091 Product breakdown","Industry x Asset x Product breakdown",1,TIMESERIES IMPORT DEFINITION,N,N,N,"00.090 Product Breakdown","Work in progress",n/a,n/a,bulk_import,"{file0 = PRODUCT BREAKDOWN.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (mapped) Product}"
11,1,"   03.102 Input A1.2 Adjustments","Input A1.2 Adjustments",1,TIMESERIES IMPORT DEFINITION,N,N,N,"4.3 Process ABI Adjustment","Work in progress",n/a,n/a,bulk_import,"{file0 = 03.102 Input A1.2 Adjustments.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (unmapped) AN.12}{Adjustment Basis-> (mapped) Adj Basis}{Source-> (unmapped) ABI}{Periodicity-> (unmapped) A}"
12,1,"   2.2.7 Adjustment A5.2 Balanced","Import Adj A5.2 for Balanced into 2.5 Input Satellite Adjustments",1,TIMESERIES IMPORT DEFINITION,N,N,N,"2.5 Input Satellite Adjustments","Work in progress",n/a,n/a,bulk_import,"{file0 = A5.2 Adjusts for Balanced.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (unmapped) TOTAL}{Sector-> (mapped) Sector}{Price-> (mapped) Price}{Adjustment Basis-> (mapped) Adjustment Basis}{Seasonal Adjustment-> (mapped) Seasonal Adjustment}{Periodicity-> (unmapped) Q}"
13,1,"   2.2.8 Adjustment RP data","Import RP Data into 2.5 Input Satellite Adjustments",1,TIMESERIES IMPORT DEFINITION,N,N,N,"2.5 Input Satellite Adjustments","Work in progress",n/a,n/a,bulk_import,"{file0 = RP data.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (unmapped) TOTAL}{Sector-> (unmapped) S1}{Price-> (unmapped) CP}{Adjustment Basis-> (mapped) Adjustment Basis}{Seasonal Adjustment-> (unmapped) NSA}{Periodicity-> (unmapped) Q}"
14,1,"   05.00 Deflator adjustments","Adjustments for mGDP deflators in satellite",1,TIMESERIES IMPORT DEFINITION,N,N,N,"05.00 Deflator adjustments","Work in progress",n/a,n/a,bulk_import,"{file0 = 05.00 Deflator adjustments.csv}","n/a","{Product-> (mapped) Product}"
15,1,"   07.00 SU Qual Adj","Quality adjustments for SU balancing",1,TIMESERIES IMPORT DEFINITION,N,N,N,"4.7 Process SU Qual Adjustments","Work in progress",n/a,n/a,bulk_import,"{file0 = 07.00 SU Qual Adj.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (mapped) Product}{Price-> (mapped) Price}{Adjustment Basis-> (mapped) Adjustment Basis}"
16,1,"   Flags task","Task to import and output flags to the unbalanced",1,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Task to import and output flags to the unbalanced}{isparallel = N}","n/a","n/a"
17,2,"      00.020 Deflator FLAGS","FLAG import file for deflator calculations in unbalanced",16,TIMESERIES IMPORT DEFINITION,N,N,N,"00.020 Stock Holding Period","Work in progress",n/a,n/a,bulk_import,"{file0 = flags import.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Prices-> (mapped) Prices}{Periodicity-> (unmapped) A}"
18,0,"1.0 Input Data","Import QSI, Non-QSI, ABI Missing and DEFRA Data",0,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Import QSI, Non-QSI, ABI Missing and DEFRA Data}{isparallel = N}","n/a","n/a"
19,1,"   1.1 Del prev run data","Deletes prev run data from input datasets",18,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Deletes prev run data from input datasets}{isparallel = N}","n/a","n/a"
20,2,"      1.1.1 Del previous data","Delete data from previous task run from 1.2",19,CALCULATION DEFINITION,N,N,N,"1.2 Input Non-QSI","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","n/a"
21,2,"      1.1.2 Del previous data","Delete data from previous task run from 1.3",19,CALCULATION DEFINITION,N,N,N,"1.3  Input ABI","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Adjustment Basis = *} {Source = *} {Periodicity = *}","n/a"
22,2,"      1.1.3 Del previous data","Delete data from previous task run from 1.4",19,CALCULATION DEFINITION,N,N,N,"1.4 Input DEFRA","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *} {Adjustments = *}","n/a"
23,1,"   1.2 Import Data","Import data into input datasets",18,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Import data into input datasets}{isparallel = N}","n/a","n/a"
24,2,"      1.2.1 Data - QSI","Import QSI Data into input dataset 1.1 Input QSI",23,TIMESERIES IMPORT DEFINITION,N,N,N,"1.1 Input QSI","Work in progress",n/a,n/a,bulk_import,"{file0 = 01.101A input QSI .csv}{file1 = 01.101B input QSI .csv}{file2 = 01.102 input Industry 61 data.csv}{file3 = 01.103 input QSI .65 66 84 data.csv}{file4 = 01.104 input QSI 02 03 06 data.csv}","n/a","{QSI Industry-> (mapped) Classification}{QSI Question-> (mapped) Question}{Measure-> (unmapped) RAW}"
25,2,"      1.2.2 Data - QSI","Import QSI Data - QSI Common Software into input dataset 1.1 Input QSI",23,TIMESERIES IMPORT DEFINITION,N,N,N,"1.1 Input QSI","Work in progress",n/a,n/a,survey_import,"{system = Common Software}{survey code = 017}{description = QST: Quarterly Stocks Inquiry}","n/a","{QSI Industry-> (mapped) classification}{QSI Question-> (mapped) question_no}{Measure-> (unmapped) RAW}"
26,2,"      1.2.3 Data - Non-QSI","Import Non-QSI Data",23,TIMESERIES IMPORT DEFINITION,N,N,N,"1.2 Input Non-QSI","Work in progress",n/a,n/a,bulk_import,"{file0 = 02.101 input SLEVEL data.csv}{file1 = 02.102 input Industry 01 data.csv}{file2 = 02.103 input Industry 06 data.csv}{file3 = 02.104 Input Industry 46 65 data.csv}{file4 = 02.106 Input Ind 84 RPA data.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Measure-> (mapped) Measure}{Periodicity-> (mapped) Periodicity}"
27,2,"      1.2.4 Data - Non-QSI","Import Data Non-QSI Asset AN.124 into 1.2 Input Non-QSI",23,TIMESERIES IMPORT DEFINITION,N,N,N,"1.2 Input Non-QSI","Work in progress",n/a,n/a,bulk_import,"{file0 = 02.109 input Asset AN.124 data.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Measure-> (unmapped) 'BV'}{Periodicity-> (unmapped) 'Q'}"
28,2,"      1.2.5 Data - ABI Missing","Import ABI Missing Data 1997-2000 into 1.3 Input ABI",23,TIMESERIES IMPORT DEFINITION,N,N,N,"1.3  Input ABI","Work in progress",n/a,n/a,bulk_import,"{file0 = 03.101A ABI MISSING data 1997.csv}{file1 = 03.101B ABI MISSING data 1998.csv}{file2 = 03.101C ABI MISSING data 1999.csv}{file3 = 03.101D ABI MISSING data 2000.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (unmapped) AN.12}{Adjustment Basis-> (mapped) Adj Basis}{Source-> (unmapped) ABI}{Periodicity-> (unmapped) A}"
29,2,"      1.2.6 Data - DEFRA","Import DEFRA Data into 1.4 Input DEFRA",23,TIMESERIES IMPORT DEFINITION,N,N,N,"1.4 Input DEFRA","Work in progress",n/a,n/a,bulk_import,"{file0 = DEFRA Crops and Stores Proportion.csv}{file1 = DEFRA Book Value Change Data.csv}{file2 = DEFRA Book Value Data 1996.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Measure-> (mapped) Measure}{Periodicity-> (mapped) Periodicity}{Adjustments-> (mapped) Adjustment}"
30,0,"2.0 Input Adjustments","Adjustments for QSI, NON-QSI, Quality, Pre SUTm Balanced and RP",0,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Adjustments for QSI, NON-QSI, Quality, Pre SUTm Balanced and RP}{isparallel = N}","n/a","n/a"
31,1,"   2.1.1 Del 2.1 prev run data","Delete 2.1 data from previous task run",30,CALCULATION DEFINITION,N,N,N,"2.1 Input Adjustment QSI A1.2","Work in progress", , ,DELETE DATA,"n/a"," {QSI Industry = *} {QSI Question = *} {Measure = *}","n/a"
32,1,"   2.1.2 Del 2.2 prev run data","Delete 2.2 data from previous task run",30,CALCULATION DEFINITION,N,N,N,"2.2 Input Adjustment NonQSI A1.2","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","n/a"
33,1,"   2.1.3 Del 2.3 prev run data","Delete 2.3 data from previous task run",30,CALCULATION DEFINITION,N,N,N,"2.3 Input Adjustment ABI A1.2","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Adjustment Basis = *} {Source = *} {Periodicity = *}","n/a"
34,1,"   2.1.4 Del 2.4 prev run data","Delete 2.4 data from previous task run",30,CALCULATION DEFINITION,N,N,N,"2.4 Input Adjustment SU Quality","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Product = *} {Price = *} {Adjustment Basis = *}","n/a"
35,1,"   2.1.5 Del 2.5 data prev run","Delete 2.5 data from previous task run",30,CALCULATION DEFINITION,N,N,N,"2.5 Input Satellite Adjustments","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Product = *} {Sector = *} {Price = *} {Adjustment Basis = *} {Seasonal Adjustment = *} {Periodicity = *}","n/a"
36,1,"   2.2.1 Adjustment - A1.2 QSI","Import Adjustment Data - A1.2 - QSI into 2.1 Input Adjustment QSI A1.2",30,TIMESERIES IMPORT DEFINITION,N,N,N,"2.1 Input Adjustment QSI A1.2","Work in progress",n/a,n/a,bulk_import,"{file0 = 01.105 input adjustment A1.2.csv}","n/a","{QSI Industry-> (mapped) Classification}{QSI Question-> (mapped) Question}{Measure-> (unmapped) A1.2}"
37,1,"   2.2.2 Adjustment - A1.2 Non-QSI","Import Adjustment Data - A1.2 - Non-QSI into 2.2 Input Adjustment NonQSI A1.2",30,TIMESERIES IMPORT DEFINITION,N,N,N,"2.2 Input Adjustment NonQSI A1.2","Work in progress",n/a,n/a,bulk_import,"{file0 = 02.108 input adjustment A1.2.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Measure-> (unmapped) A1.2}{Periodicity-> (unmapped) Q}"
38,1,"   2.2.3 Adjustment - A1.2 ABI","Import Adjustment Data - A1.2 - ABI into 2.3 Input Adjustment ABI A1.2",30,TIMESERIES IMPORT DEFINITION,N,N,N,"2.3 Input Adjustment ABI A1.2","Work in progress",n/a,n/a,bulk_import,"{file0 = 03.102 Input A1.2 Adjustments.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (unmapped) AN.12}{Adjustment Basis-> (mapped) Adj Basis}{Source-> (unmapped) ABI}{Periodicity-> (unmapped) A}"
39,1,"   2.2.4 Adjustment - SU Quality","Import Adjustment Data - SU Quality into 2.4 Input Adjustment SU Quality",30,TIMESERIES IMPORT DEFINITION,N,N,N,"2.4 Input Adjustment SU Quality","Work in progress",n/a,n/a,bulk_import,"{file0 = 07.00 SU Qual Adj.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (mapped) Product}{Price-> (mapped) Price}{Adjustment Basis-> (mapped) Adjustment Basis}"
40,1,"   2.2.5 Adjustment AQ for Pre SUT","Import Adj AQ for Pre SUT into 2.5 Input Satellite Adjustments",30,TIMESERIES IMPORT DEFINITION,N,N,N,"2.5 Input Satellite Adjustments","Work in progress",n/a,n/a,bulk_import,"{file0 = Adj AQ for Pre SUT.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (unmapped) TOTAL}{Sector-> (unmapped) ST}{Price-> (unmapped) CP}{Adjustment Basis-> (mapped) Adjustment Basis}{Seasonal Adjustment-> (unmapped) NSA}{Periodicity-> (unmapped) Q}"
41,1,"   2.2.6 Adjustment A4.2 Balanced","Import Adjustment A4.2 for Balanced into 2.5 Input Satellite Adjustments",30,TIMESERIES IMPORT DEFINITION,N,N,N,"2.5 Input Satellite Adjustments","Work in progress",n/a,n/a,bulk_import,"{file0 = A4.2 Adjusts for Balanced.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (mapped) Product}{Sector-> (unmapped) S1}{Price-> (mapped) Price}{Adjustment Basis-> (mapped) Adjustment Basis}{Seasonal Adjustment-> (unmapped) NSA}{Periodicity-> (unmapped) Q}"
42,1,"   2.2.7 Adjustment A5.2 Balanced","Import Adj A5.2 for Balanced into 2.5 Input Satellite Adjustments",30,TIMESERIES IMPORT DEFINITION,N,N,N,"2.5 Input Satellite Adjustments","Work in progress",n/a,n/a,bulk_import,"{file0 = A5.2 Adjusts for Balanced.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (unmapped) TOTAL}{Sector-> (mapped) Sector}{Price-> (mapped) Price}{Adjustment Basis-> (mapped) Adjustment Basis}{Seasonal Adjustment-> (mapped) Seasonal Adjustment}{Periodicity-> (unmapped) Q}"
43,1,"   2.2.8 Adjustment RP data","Import RP Data into 2.5 Input Satellite Adjustments",30,TIMESERIES IMPORT DEFINITION,N,N,N,"2.5 Input Satellite Adjustments","Work in progress",n/a,n/a,bulk_import,"{file0 = RP data.csv}","n/a","{Industry-> (mapped) Industry}{Asset-> (mapped) Asset}{Product-> (unmapped) TOTAL}{Sector-> (unmapped) S1}{Price-> (unmapped) CP}{Adjustment Basis-> (mapped) Adjustment Basis}{Seasonal Adjustment-> (unmapped) NSA}{Periodicity-> (unmapped) Q}"
44,0,"3.0 Input Pattern","Input Pattern for Industry Sector",0,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Input Pattern for Industry Sector}{isparallel = N}","n/a","n/a"
45,1,"   3.1.1 Del 3.1 prev run data","Delete 3.1 data from previous task run",44,CALCULATION DEFINITION,N,N,N,"3.1 Input Sector Ind Pattern","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Sector = *} {Measure = *}","n/a"
46,1,"   3.2.1 Pattern Sector Industry","Import Pattern [to create VPIC and HG at required level] into 3.1 Input Sector Ind Pattern",44,TIMESERIES IMPORT DEFINITION,N,N,N,"3.1 Input Sector Ind Pattern","Work in progress",n/a,n/a,bulk_import,"{file0 = 00.201 Sector Industry pattern.csv}","n/a","{Industry-> (mapped) Industry}{Sector-> (mapped) Sector}{Measure-> (mapped) Measure}"
47,0,"4.0 Main Processing","Main Processing Task",0,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Main Processing Task}{isparallel = N}","n/a","n/a"
48,1,"   4.0.1 Delete Processing Data","Deletes previous task run processing data from all processing datasets",47,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Deletes previous task run processing data from all processing datasets}{isparallel = N}","n/a","n/a"
49,2,"      4.0.1.1 Del 4.1 Processing Data","Deletes previous task run processing data from Processing Dataset 4.1",48,CALCULATION DEFINITION,N,N,N,"4.1 Process QSI Industries","Work in progress", , ,DELETE DATA,"n/a"," {QSI Industry = *} {QSI Question = *} {Measure = *}","n/a"
50,2,"      4.0.1.2 Del 4.2 Processing Data","Deletes previous task run processing data from Processing Dataset 4.2",48,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","n/a"
51,2,"      4.0.1.3 Del 4.3 Processing Data","Deletes previous task run processing data from Processing Dataset 4.3",48,CALCULATION DEFINITION,N,N,N,"4.3 Process ABI Adjustment","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Adjustment Basis = *} {Source = *} {Periodicity = *}","n/a"
52,2,"      4.0.1.4 Del 4.4 Processing Data","Deletes previous task run processing data from Processing Dataset 4.4",48,CALCULATION DEFINITION,N,N,N,"4.4 Process Satellite Adjustment","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Sector = *} {Price = *} {Adjustment Basis = *} {Seasonal Adjustment = *} {Periodicity = *} {Product = *}","n/a"
53,2,"      4.0.1.5 Del 4.5 Processing Data","Deletes previous task run processing data from Processing Dataset 4.5",48,CALCULATION DEFINITION,N,N,N,"4.5 Process DEFRA Delivery","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *} {Adjustments = *}","n/a"
54,2,"      4.0.1.6 Del 4.6 Processing Data","Deletes previous task run processing data from Processing Dataset 4.6",48,CALCULATION DEFINITION,N,N,N,"4.6 Process Ind Sector Pattern","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Sector = *} {Measure = *}","n/a"
55,2,"      4.0.1.7 Del 4.7 Processing Data","Deletes previous task run processing data from Processing Dataset 4.7",48,CALCULATION DEFINITION,N,N,N,"4.7 Process SU Qual Adjustments","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Product = *} {Price = *} {Adjustment Basis = *}","n/a"
56,1,"   4.2 Process Non-QSI industries","Process Non-QSI industries",47,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Process Non-QSI industries}{isparallel = N}","n/a","n/a"
57,2,"      4.2.1 Input Non-QSI Data","Input Non-QSI Data",56,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Input Non-QSI Data}{isparallel = N}","n/a","n/a"
58,3,"         4.2.1.1 Copy Data Non-QSI Ind","Copy Non-QSI Data",57,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 1.2 Input Non-QSI}{status = Work in progress}}"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Periodicity-> (Direct) Periodicity}"
59,3,"         4.2.1.2 Copy Adj Non-QSI A1.2","Copy Adjustments A1.2 for Non-QSI",57,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 2.2 Input Adjustment NonQSI A1.2}{status = Work in progress}}"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Periodicity-> (Direct) Periodicity}"
60,2,"      4.2.2 Calculate Non-QSI Ind","Calculate Non-QSI industries",56,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Calculate Non-QSI industries}{isparallel = N}","n/a","n/a"
61,3,"         4.2.2.1 Calc 64 OTHER BVC A","Calculates Periodicity: A as aggregate (Q,A,total) for Industry:64; Asset:AN.122.OTHER; Measure:BVC",60,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,FORMULA,"{items to calculate {Periodicity = A}}{formula = aggregate (Q, A, total)}"," {Industry = 64} {Asset = AN.122.OTHER} {Measure = BVC}","n/a"
62,3,"         4.2.2.2 Calc 01 06 OTHER BVC Q","Calculates Periodicity:Q as round(spline(A,Q,total,$enddate),0) for 01,16; group other; BVC",60,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,FORMULA,"{items to calculate {Periodicity = Q}}{formula = round(spline (A, Q, total, $enddate),0)}"," {Industry = 01, 06} {Asset = group Other} {Measure = BVC}","n/a"
63,3,"         4.2.2.3 Calc 01 06 64 OTHER BV Q","Calc BV;Q as conround(cumsum(BVC:Q,value(SLEVEL:A,$slevelyear),$slevelqtr),0) for 01,06,64;Grp other",60,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,FORMULA,"{items to calculate {Measure = BV} {Periodicity = Q}}{formula = conround(cumsum (BVC:Q, value (SLEVEL:A, $slevelyear), $slevelqtr),0)}"," {Industry = 01, 06, 64} {Asset = Group Other}","n/a"
64,3,"         4.2.2.4 Calculate 46 65 84 BV","Calculates BV as round(PLEVEL*PRICE,0) for 46,65.1-2,65.3,84;group AN.123 exc SILVER; Q",60,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,FORMULA,"{items to calculate {Measure = BV}}{formula = round (PLEVEL * PRICE, 0)}"," {Industry = 46, 65.1-2, 65.3, 84} {Asset = group AN.123 exc SILVER} {Periodicity = 'Q'}","n/a"
65,3,"         4.2.2.5 Agg Assets to AN.12","Aggregates Asset up to AN.12:- Industry:01,06,46,64,65.1-2,65.3,84; Measure: BV; Periodicity: Q",60,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,AGGREGATE,"{aggregate dimension = Asset}{top level specification = AN.12}"," {Industry = 01, 06, 46, 64, 65.1-2, 65.3, 84} {Measure = BV} {Periodicity = Q}","n/a"
66,3,"         4.2.2.6 Agg PROP to Asset AN.12","Aggregates Asset up to AN.12:- Industry: 55, 56; Measure: PROP; Periodicity: Q",60,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,AGGREGATE,"{aggregate dimension = Asset}{top level specification = AN.12}"," {Industry = 55,56} {Measure = PROP} {Periodicity = Q}","n/a"
67,3,"         4.2.2.7 Prorate from Asset AN.12","Pro-Rate BV Down Asset AN.12 using Pattern:PROP for Industry:55, 56; Periodicity:Q",60,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,PRORATE,"{measure dimension = Measure}{hierarchy dimension = Asset}{prorate item = BV}{pattern item = PROP}{top level specification = AN.12}"," {Industry = 55, 56} {Periodicity = Q}","n/a"
68,3,"         4.2.2.8 Extend A1.2 to end date","Calculates Periodicity:Q using shape(Q,1996q4, $enddate, zero) for Industry:*; Asset:*; Measure:A1.2",60,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,FORMULA,"{items to calculate {Periodicity = Q}}{formula = shape( Q, 1996q4, $enddate, zero)}"," {Industry = *} {Asset = *} {Measure = A1.2}","n/a"
69,3,"         4.2.2.9 Calc measure OUTPUT","Calculates Measure:OUTPUT using round(BV+A1.2,0)",60,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress",1996Q4, ,FORMULA,"{items to calculate {Measure = OUTPUT}}{formula = round( BV + A1.2, 0)}"," {Industry = TOTAL, group Bottom level} {Asset = AN.12, group Main, group Bottom level} {Periodicity = Q}","n/a"
70,3,"         4.2.2.10 Form Ind 46, AN.125","Form OUTPUT for industry 46, asset AN.125 by mapping from AN.123",60,CALCULATION DEFINITION,N,N,N,"4.2 Process Non-QSI Industries","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 4.2 Process Non-QSI Industries}{status = Work in progress}}"," {Industry = 46} {Asset = AN.123} {Measure = OUTPUT} {Periodicity = Q}","{Industry-> (Direct) Industry}{AN.125-> (Unmapped) Asset}{Measure-> (Direct) Measure}{Periodicity-> (Direct) Periodicity}"
71,1,"   4.3 Process ABI Adjustment","Process ABI Adjustment",47,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Process ABI Adjustment}{isparallel = N}","n/a","n/a"
