Task Report     Date: 11/10/2022 19:59:25
"Task: A. Inventories Satellite    Description: Runs all Annual SUT Balanced CORD tasks from stages 00 to 13    Is Parallel: N"
Statistical Activity: Unbalanced Inventories    Mode: INT23

Order,Level,Name,Description,Parent Task,Kind,Exclude,Parallel,Line Run,Dataset,Status,Start Date,End Date,Object Type,Object Details,Selection Criteria,Dimension Mappings
26,4,"            00.151 Copy VPIC CP RP Local","Copy VPIC, CP, RP, Q, Asset Main and Industry Published Bot level from Inventories Local (04.00 Adj)",25,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = group Published Bottom Level} {Product = 'TOTAL'} {Asset = group Main} {Sector = 'S.1'} {Measure = 'VPIC'} {Source = LOCAL} {Adjustment Basis = 'RP'} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
27,4,"            00.152 Copy Pattern R3.2 Local","Copy pattern, CP, R3.2, A, All Asset, Industry and Prod from Inventories Local (00.090 Prod Break)",25,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = *} {Asset = *} {Sector = 'S.1'} {Measure = 'pattern'} {Source = LOCAL} {Adjustment Basis = R3.2} {Price = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
28,4,"            00.153 Copy VPIC CP AQ Local","Copy VPIC, CP, AQ, Q, All Asset and Industry from Inventories Local (04.00 Adjustments for Sat)",25,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = TOTAL} {Asset = *} {Sector = 'S.1'} {Measure = 'VPIC'} {Source = LOCAL} {Adjustment Basis = 'AQ'} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
29,3,"         00.16 Copy from Local Volume","Copy data from Inventories Local to Input for VPIL and VPIC Volume",3,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from Inventories Local to Input for VPIL and VPIC Volume}{isparallel = N}","n/a","n/a"
30,4,"            00.161 Copy VPIL.adj from Local","Copy Q, VPIL.adj (AQ, SU Quality Adjustments) from Inventories Local (07.00 SU Qual adj)",29,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = *} {Asset = *} {Sector = S.1} {Measure = 'VPIL.adj'} {Source = LOCAL} {Adjustment Basis = 'AQ'} {Price = *} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{V-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
31,3,"         00.17 Copy from Local Sector Bre","Copy data from Inventories Local to Input for Sector Breakdown",3,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from Inventories Local to Input for Sector Breakdown}{isparallel = N}","n/a","n/a"
32,4,"            00.171 Copy Industry Sector Patt","Copy all Quarterly data from Local (Industry pattern data)",31,CALCULATION DEFINITION,N,N,N,"Input: Inventories Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 5.1 Output Unbalanced Invent (from Inventories Local)}{status = Completed}}"," {Industry = *} {Product = TOTAL} {Asset = AN.12} {Sector = *} {Measure = *} {Source = LOCAL} {Adjustment Basis = R1.2} {Price = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Adjustment Basis-> (Direct) Adjustment Basis}{P-> (Unmapped) Allocation}{Price-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}"
33,2,"      00.20 Copy from Unbal GDP(P) Sat","Copy data from Unbalanced GDP(P) Satellite to Input",2,TASK (Not Parallel),N,Y,Y,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from Unbalanced GDP(P) Satellite to Input}{isparallel = N}","n/a","n/a"
34,3,"         00.201 Copy in GDP P Sat data","Copy V, AN.121, R0 data from Unbalanced GDP(P) Satellite",33,CALCULATION DEFINITION,N,N,N,"Input: Unbalanced GDP(P) Sat","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = OUTPUT: Inventories UB Satellite (from Unbalanced GDP(P) Satellite)}{status = Completed}}"," {Industry = group 114 level industries} {Product = group 114 level}","{Industry-> (Indirect) Industry{classification mapping = SIC2007 INV to SIC2007_114 (from Unbalanced Inventories)}}{Product-> (Indirect) Product{classification mapping = CPA 2008 Map to CPA 2008 INV (from Unbalanced Inventories)}}"
35,2,"      00.30 Copy from GDP(O)","Copy data from GDP(O) to Input",2,TASK (Not Parallel),N,Y,Y,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from GDP(O) to Input}{isparallel = N}","n/a","n/a"
36,3,"         00.301 Copy in GDP O data","Copy UWDEF, DEF, M, Asset AN.12, Industry TOTAL, Product data (RF) from GDP(O)",35,CALCULATION DEFINITION,N,N,N,"Input: GDP(O)","Work in progress",1996OCT, ,COPY BETWEEN DATASETS,"{source dataset{name = Output: UB Inventories Deflator (from GDP(O))}{status = Completed}}"," {CPA2008 = group 4.04 bottom level}","{CPA2008-> (Direct) Product}"
37,2,"      00.40 Copy from GDP(P) Local","Copy data from GDP(P) Local to Input",2,TASK (Not Parallel),N,Y,Y,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data from GDP(P) Local to Input}{isparallel = N}","n/a","n/a"
38,3,"         00.401 Copy in GDP P Local data","Copy BV.in, ABI, A, Asset AN.12, Industry Bottom level, Product TOTAL from GDP(P) Local",37,CALCULATION DEFINITION,N,N,N,"Input: GDP(P) Local","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = OUTPUT: Inventories UB Satellite (from GDP(P) Local)}{status = Completed}}"," {Question/Concepts = I.BV} {Industry = group Inventories Industries excl A01} {Adjustment Basis = ABS_ADJ} {Allocation = V_M}","{Industry-> (Indirect) Industry{classification mapping = Bottom Level SDMX to SIC 2007 (from Unbalanced Inventories)}}"
39,0,"01.00 Product Pattern Prep","Copy data to 01.00 Product Pattern Prep and process as required",0,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data to 01.00 Product Pattern Prep and process as required}{isparallel = N}","n/a","n/a"
40,1,"   01.001 Delete Prod Pattern data","Delete all data from Product Pattern Prep dataset",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Asset = *} {Product = *} {Allocation = *} {Adjustment = *}","n/a"
41,1,"   01.002 Copy in PROP from Input","Copy PROP, AN.121, R0 data from Input: Inventories Local",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = *} {Product = *} {Asset = AN.121} {Sector = S.1} {Measure = pattern} {Source = LOCAL} {Adjustment Basis = R0} {Allocation = PROP} {Prices = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Product-> (Direct) Product}{Allocation-> (Direct) Allocation}{Adjustment Basis-> (Direct) Adjustment}"
42,1,"   01.003 Copy Pattern Adjustment","Copy P (Pattern), AN.121, A0.1 adjustments from Input: Inventories Local",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = *} {Product = *} {Asset = AN.121} {Sector = S.1} {Measure = pattern} {Source = LOCAL} {Adjustment Basis = A0.1} {Allocation = P} {Prices = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Product-> (Direct) Product}{Allocation-> (Direct) Allocation}{Adjustment Basis-> (Direct) Adjustment}"
43,1,"   01.004 Copy in GDP P Sat data","Copy V, AN.121, R0 data from Input: Unbalanced GDP(P) Sat",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Unbalanced GDP(P) Sat}{status = Work in progress}}"," {Industry = *} {Product = *}","{Industry-> (Direct) Industry}{AN.121-> (Unmapped) Asset}{Product-> (Direct) Product}{V-> (Unmapped) Allocation}{R0-> (Unmapped) Adjustment}"
44,1,"   01.005 Calc Reduced data","Multiply V by PROP to create R (Reduced), AN.121, R0, Industry and Product group Bottom level",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,FORMULA,"{items to calculate {Allocation = R}}{formula = 'V' * 'PROP'}"," {Industry = group Bottom level} {Asset = 'AN.121'} {Product = group Bottom level} {Adjustment = R0}","n/a"
45,1,"   01.006 Agg Reduced data up Prod","Aggregate R, AN.121, R0 data up Product to TOTAL for Industry group Bottom level",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,AGGREGATE,"{aggregate dimension = Product}{top level specification = TOTAL}"," {Industry = group Bottom level} {Asset = 'AN.121'} {Allocation = 'R'} {Adjustment = R0}","n/a"
